Nome: ITAJAI
Codigo Estacao: A868
Latitude: -26.95083333
Longitude: -48.76194444
Altitude: 9.76
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2026-01-01
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);RADIACAO GLOBAL(Kj/m²);VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2020-01-01;0000;0;-3;3,2;1,8;
2020-01-01;0100;0;-1,5;3;,8;
2020-01-01;0200;0;-1,7;2,2;,7;
2020-01-01;0300;0;-3,1;2,2;,8;
2020-01-01;0400;0;-2,8;2,7;1,5;
2020-01-01;0500;0;-2,5;2,7;,6;
2020-01-01;0600;0;-2,4;1,5;0;
2020-01-01;0700;0;-2,7;1,1;0;
2020-01-01;0800;0;-1;1,7;,8;
2020-01-01;0900;0;68,8;1,7;0;
2020-01-01;1000;0;293,6;2,6;,4;
2020-01-01;1100;0;822,9;3,4;1,8;
2020-01-01;1200;0;1524,2;4,7;2,3;
2020-01-01;1300;0;2540,2;5,3;2,1;
2020-01-01;1400;0;2671,8;4,6;1,3;
2020-01-01;1500;0;3535,9;3,6;,9;
2020-01-01;1600;0;3560,5;4;1,4;
2020-01-01;1700;0;3349,7;7,6;4,6;
2020-01-01;1800;0;2920,4;9,5;5,9;
2020-01-01;1900;0;869,6;12,5;3,7;
2020-01-01;2000;32,6;10,4;12,5;1,8;
2020-01-01;2100;,8;147,7;4,3;1;
2020-01-01;2200;,2;36,7;4;1,5;
2020-01-01;2300;1,8;-1,4;2,8;,5;
2020-01-02;0000;,2;-1,4;3,5;1,5;
2020-01-02;0100;0;-1,3;4,2;1,1;
2020-01-02;0200;0;-,3;2,5;1,4;
2020-01-02;0300;0;-1;2,7;1,2;
2020-01-02;0400;0;-3;2,4;1,5;
2020-01-02;0500;0;-2,7;3,7;,6;
2020-01-02;0600;0;-2,8;3,5;,1;
2020-01-02;0700;0;-2,8;3;,9;
2020-01-02;0800;0;-,2;4,5;,2;
2020-01-02;0900;0;269,7;2,3;,2;
2020-01-02;1000;0;978,1;1,7;,3;
2020-01-02;1100;0;1328,4;2,3;0;
2020-01-02;1200;0;593,8;1,8;0;
2020-01-02;1300;0;1080,9;3,4;1,4;
2020-01-02;1400;0;2352,2;4;1,8;
2020-01-02;1500;0;1551,2;4;1,8;
2020-01-02;1600;0;1961,2;7,6;3,4;
2020-01-02;1700;0;781,2;7,6;1,4;
2020-01-02;1800;0;860,5;4,8;2;
2020-01-02;1900;0;962,4;8,7;3,6;
2020-01-02;2000;0;433,1;8,7;2,6;
2020-01-02;2100;0;194,2;7,8;3,8;
2020-01-02;2200;0;100,5;7,9;3,7;
2020-01-02;2300;0;-3,5;9,2;4,1;
2020-01-03;0000;0;-3,4;8,7;1,7;
2020-01-03;0100;0;-3,2;7,7;2,7;
2020-01-03;0200;0;-2,9;6,7;2,6;
2020-01-03;0300;0;-3;6,3;2,1;
2020-01-03;0400;0;-3,2;6,2;2,7;
2020-01-03;0500;0;-3,4;6,5;1;
2020-01-03;0600;0;-2,8;4,9;1,8;
2020-01-03;0700;0;-3,3;4,9;1,7;
2020-01-03;0800;,6;-,4;3,7;2,1;
2020-01-03;0900;0;264;4,2;2,3;
2020-01-03;1000;0;933;7,5;1,7;
2020-01-03;1100;0;1964,7;7,7;3,5;
2020-01-03;1200;0;1987;9,2;3,7;
2020-01-03;1300;0;2072,1;8,1;4,2;
2020-01-03;1400;0;3002,1;9,8;4,8;
2020-01-03;1500;0;3699;10,3;4,6;
2020-01-03;1600;0;3423,6;10,3;3,4;
2020-01-03;1700;0;2697,4;8,8;3,2;
2020-01-03;1800;0;1883;9,1;4,2;
2020-01-03;1900;0;2245,9;7,4;3,8;
2020-01-03;2000;0;1216,1;8,8;4,1;
2020-01-03;2100;0;595,1;8,6;1,8;
2020-01-03;2200;0;80,2;5,5;2,2;
2020-01-03;2300;0;-3,5;5,5;1,2;
2020-01-04;0000;,2;-3,5;2,8;0;
2020-01-04;0100;2,4;-2,6;3,9;1,8;
2020-01-04;0200;4,8;-2,5;5,6;1,4;
2020-01-04;0300;4,6;-1,9;3,4;1,1;
2020-01-04;0400;,8;-1,8;6,5;2,4;
2020-01-04;0500;0;-2;4,7;1,6;
2020-01-04;0600;3,6;-2;4,6;1,7;
2020-01-04;0700;4,4;-1;7,6;1,6;
2020-01-04;0800;8;-2,1;5,8;3;
2020-01-04;0900;,8;27,2;8,5;3,1;
2020-01-04;1000;0;251,8;8,3;3;
2020-01-04;1100;,4;330,2;7,9;3,4;
2020-01-04;1200;0;316,9;6,6;1,8;
2020-01-04;1300;3,2;314,5;5,4;3,2;
2020-01-04;1400;,2;957,3;7,7;1,9;
2020-01-04;1500;0;2523,3;6,8;3,2;
2020-01-04;1600;0;2179;10,7;3,9;
2020-01-04;1700;0;2517,6;9,3;3,5;
2020-01-04;1800;0;1389,9;7,9;3,8;
2020-01-04;1900;0;1779,2;9;4,1;
2020-01-04;2000;,2;923,1;7,5;2,8;
2020-01-04;2100;,2;335,6;6,2;1,3;
2020-01-04;2200;0;37,1;3,8;1,8;
2020-01-04;2300;0;-3,5;3,8;0;
2020-01-05;0000;,4;-3,1;2,8;,1;
2020-01-05;0100;0;-2,6;4,3;1,3;
2020-01-05;0200;0;-3,1;3,7;2,1;
2020-01-05;0300;0;-3,4;3,4;2;
2020-01-05;0400;0;-3,5;3,7;,5;
2020-01-05;0500;0;-3,4;2,9;,8;
2020-01-05;0600;0;-3,4;3;1,8;
2020-01-05;0700;0;-3,2;4,7;1,4;
2020-01-05;0800;0;-1,1;3,4;,2;
2020-01-05;0900;0;291,8;4,5;2,3;
2020-01-05;1000;0;1002,7;4,7;2,8;
2020-01-05;1100;0;1857,9;4,6;3;
2020-01-05;1200;0;2700;6,2;1,9;
2020-01-05;1300;0;2855,1;3,4;1,3;
2020-01-05;1400;0;3000,3;4,6;2,6;
2020-01-05;1500;0;3264,7;6,2;2,7;
2020-01-05;1600;0;3558,7;5,5;3,1;
2020-01-05;1700;0;2971,9;6,2;3,4;
2020-01-05;1800;0;3132,1;6,9;4,2;
2020-01-05;1900;0;2398;7,9;4,4;
2020-01-05;2000;0;1577,2;7,1;4,2;
2020-01-05;2100;0;743,7;7;2,8;
2020-01-05;2200;0;35,5;5,6;1,9;
2020-01-05;2300;0;-3,5;4;,2;
2020-01-06;0000;0;-3,5;1,6;,8;
2020-01-06;0100;0;-3,5;2;0;
2020-01-06;0200;0;-3,5;2,1;,7;
2020-01-06;0300;0;-3,4;2,1;0;
2020-01-06;0400;0;-2,9;2,4;1,4;
2020-01-06;0500;0;-3,4;2,4;,4;
2020-01-06;0600;0;-3,3;2,2;1,2;
2020-01-06;0700;0;-3,3;2,3;,4;
2020-01-06;0800;0;-,8;1,4;,1;
2020-01-06;0900;0;284,7;2,8;1,5;
2020-01-06;1000;0;918,5;4,3;2,7;
2020-01-06;1100;0;1732,2;4,7;2;
2020-01-06;1200;0;2572;3,7;1;
2020-01-06;1300;0;3215,3;5,5;2,3;
2020-01-06;1400;0;3488,5;5,5;2;
2020-01-06;1500;0;3048,3;4,3;1,9;
2020-01-06;1600;0;3056,3;4,2;1,9;
2020-01-06;1700;0;2795,3;7,5;4,3;
2020-01-06;1800;0;3070,7;8;5,4;
2020-01-06;1900;0;2353,8;8,3;4,8;
2020-01-06;2000;0;1530,3;7,3;3,4;
2020-01-06;2100;0;680,2;6,8;4,1;
2020-01-06;2200;0;75,5;6,6;2,5;
2020-01-06;2300;0;-3,5;4,8;,8;
2020-01-07;0000;0;-3,5;2,7;,3;
2020-01-07;0100;0;-3,5;2,3;0;
2020-01-07;0200;0;-3,4;1,2;0;
2020-01-07;0300;0;-3,3;2;,2;
2020-01-07;0400;0;-3,4;2,1;1,1;
2020-01-07;0500;0;-3,4;1,7;,1;
2020-01-07;0600;0;-3;1,4;0;
2020-01-07;0700;0;-2,7;3;1,7;
2020-01-07;0800;0;,8;2,7;1,1;
2020-01-07;0900;0;208,7;2,8;1,9;
2020-01-07;1000;0;764,1;3,6;1,9;
2020-01-07;1100;0;1808,6;5,1;3,1;
2020-01-07;1200;0;2486;5,2;1,4;
2020-01-07;1300;0;3074,2;5,4;3,1;
2020-01-07;1400;0;2703,7;6;,9;
2020-01-07;1500;0;2512,7;5,2;2,8;
2020-01-07;1600;0;3084,1;6,8;4,3;
2020-01-07;1700;0;855,3;10,8;5,5;
2020-01-07;1800;15,8;355;11,8;1,3;
2020-01-07;1900;2;929,6;7,1;3;
2020-01-07;2000;1,2;213,2;6,1;,7;
2020-01-07;2100;,6;132,6;4,7;2,7;
2020-01-07;2200;,4;10,8;4,7;,7;
2020-01-07;2300;,2;-3;2,3;1,5;
2020-01-08;0000;,4;-2,9;2,7;,3;
2020-01-08;0100;,2;-3,4;1,1;0;
2020-01-08;0200;0;-2,9;1,4;,7;
2020-01-08;0300;,2;-2,9;1,4;0;
2020-01-08;0400;0;-2,9;1,7;,6;
2020-01-08;0500;,2;-1,8;1,7;0;
2020-01-08;0600;0;-1,8;1;0;
2020-01-08;0700;0;-1,6;2,2;1,4;
2020-01-08;0800;0;,1;2,2;0;
2020-01-08;0900;,2;141,2;4;2,3;
2020-01-08;1000;0;375,3;4,6;2,3;
2020-01-08;1100;0;846,8;4,6;2,5;
2020-01-08;1200;,2;987;3,5;,9;
2020-01-08;1300;0;1700,4;2,8;,2;
2020-01-08;1400;0;1424,4;4,6;2,6;
2020-01-08;1500;0;610,1;5;2,7;
2020-01-08;1600;0;730,4;4,4;1,8;
2020-01-08;1700;0;1551,4;3,7;,6;
2020-01-08;1800;0;1821,5;4,7;2,5;
2020-01-08;1900;,2;1445,7;4,1;1,1;
2020-01-08;2000;0;481;5,5;2,8;
2020-01-08;2100;0;163,6;6,5;2,8;
2020-01-08;2200;0;13,6;5,6;1,8;
2020-01-08;2300;0;-2,3;3,3;1,9;
2020-01-09;0000;0;-2;3,3;,4;
2020-01-09;0100;0;-2,8;2,8;,1;
2020-01-09;0200;0;-3,4;2,3;0;
2020-01-09;0300;0;-3,1;1,5;,8;
2020-01-09;0400;0;-2,8;2,3;,4;
2020-01-09;0500;0;-3,1;2,2;,4;
2020-01-09;0600;0;-3,3;3,3;1,6;
2020-01-09;0700;0;-3,5;3,1;0;
2020-01-09;0800;0;-,8;2,5;,9;
2020-01-09;0900;0;136,9;4,5;2,1;
2020-01-09;1000;0;433,8;3,6;1,5;
2020-01-09;1100;0;1239,7;4,1;2,3;
2020-01-09;1200;0;2559,8;3,8;1,6;
2020-01-09;1300;0;3227,5;5,8;3,4;
2020-01-09;1400;0;3600,1;8;1,5;
2020-01-09;1500;0;3796,9;6,2;2,6;
2020-01-09;1600;0;3878,1;5,7;2,9;
