Nome: URUSSANGA
Codigo Estacao: A814
Latitude: -28.53249999
Longitude: -49.31527777
Altitude: 40.56
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2026-01-01
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);RADIACAO GLOBAL(Kj/m²);VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2020-01-01;0000;1,2;-3,5;4,5;2;
2020-01-01;0100;0;-3,2;5,2;1,1;
2020-01-01;0200;0;-2,9;2,9;1,2;
2020-01-01;0300;0;-3,5;2,4;,6;
2020-01-01;0400;0;-3,3;2,3;1,1;
2020-01-01;0500;0;-3,5;2,3;,6;
2020-01-01;0600;0;-3,2;2,6;,9;
2020-01-01;0700;0;-2,7;2,5;1,1;
2020-01-01;0800;0;-3,4;2,8;,4;
2020-01-01;0900;0;44,8;2,2;,8;
2020-01-01;1000;0;208,3;1,9;,8;
2020-01-01;1100;0;756,8;1,8;,5;
2020-01-01;1200;0;1963,5;1,9;,6;
2020-01-01;1300;0;3092,7;2,2;,7;
2020-01-01;1400;0;2799,5;4,1;1,6;
2020-01-01;1500;0;3577,5;5,3;2,5;
2020-01-01;1600;0;4008,2;5,7;2,9;
2020-01-01;1700;0;3178,9;5,7;1,1;
2020-01-01;1800;0;821,8;7,2;3,2;
2020-01-01;1900;0;829,4;6;1;
2020-01-01;2000;,4;475,5;2,9;1,7;
2020-01-01;2100;0;635,7;2,9;1;
2020-01-01;2200;0;49,7;2,4;1,1;
2020-01-01;2300;0;-1;3,3;,9;
2020-01-02;0000;,2;-2,6;3,4;1,7;
2020-01-02;0100;31,6;-1;6,4;1,7;
2020-01-02;0200;1,8;-,5;2,9;,6;
2020-01-02;0300;22;-,9;2,3;,6;
2020-01-02;0400;15,8;-,8;2,5;1,1;
2020-01-02;0500;2,8;-1,1;2,4;,5;
2020-01-02;0600;8;-1,2;3,3;,5;
2020-01-02;0700;2,4;-1,4;3,1;,7;
2020-01-02;0800;,2;-,8;3,9;1,2;
2020-01-02;0900;0;32,8;4,6;1,7;
2020-01-02;1000;,6;189,4;6,1;2,3;
2020-01-02;1100;,6;460,9;5,5;2,1;
2020-01-02;1200;,6;1055;7,6;3,6;
2020-01-02;1300;1,2;1455,4;7,9;2,1;
2020-01-02;1400;,6;1782,6;9;2,5;
2020-01-02;1500;,2;1525,3;9;3,2;
2020-01-02;1600;1,2;1890,8;8,1;2;
2020-01-02;1700;,2;2428,2;8,1;3,4;
2020-01-02;1800;0;2200,1;10,6;3,1;
2020-01-02;1900;0;1847;8,7;3;
2020-01-02;2000;,2;1080,7;8,9;3,4;
2020-01-02;2100;,4;529,5;9,9;2,4;
2020-01-02;2200;1,6;135,3;7,1;2,9;
2020-01-02;2300;,4;3,6;6,9;1,4;
2020-01-03;0000;,6;-1,9;3,6;1,4;
2020-01-03;0100;,2;-2,8;3,6;1,3;
2020-01-03;0200;,2;-3,3;4;1,1;
2020-01-03;0300;2;-2,5;4,7;1;
2020-01-03;0400;,2;-2,6;2,6;,2;
2020-01-03;0500;,2;-2,2;2,1;1;
2020-01-03;0600;0;-2,6;1,9;,5;
2020-01-03;0700;0;-3;1,2;,3;
2020-01-03;0800;,8;-2,5;1,1;,1;
2020-01-03;0900;,2;20,2;3;1,1;
2020-01-03;1000;0;580,8;3;,5;
2020-01-03;1100;0;947,7;3,8;1,3;
2020-01-03;1200;2,6;1630,7;4,4;1,6;
2020-01-03;1300;,2;1582,1;4,4;1,5;
2020-01-03;1400;0;3277,5;7,7;3,4;
2020-01-03;1500;,2;2739,3;8,2;3,4;
2020-01-03;1600;0;3926,2;8,4;3,2;
2020-01-03;1700;0;3456,4;7,8;3,2;
2020-01-03;1800;0;2973,1;8,7;3,7;
2020-01-03;1900;0;1409,2;7,3;2,6;
2020-01-03;2000;0;1171,8;10,7;3,2;
2020-01-03;2100;,6;435,5;9,2;1,4;
2020-01-03;2200;0;158,9;5,5;1,7;
2020-01-03;2300;,2;1,9;4,5;,9;
2020-01-04;0000;0;-2,1;2,8;,3;
2020-01-04;0100;0;-2;1,5;,7;
2020-01-04;0200;0;-2,7;2,4;,5;
2020-01-04;0300;0;-2,3;1,3;,5;
2020-01-04;0400;,2;-2,6;3,2;,9;
2020-01-04;0500;0;-2,7;1,6;,6;
2020-01-04;0600;0;-1,6;1,6;,6;
2020-01-04;0700;0;-2,3;2;1;
2020-01-04;0800;0;-3,2;1,8;,5;
2020-01-04;0900;,8;10;1,5;,6;
2020-01-04;1000;1,6;153,8;2,3;,8;
2020-01-04;1100;3,6;228,6;4;1,3;
2020-01-04;1200;6,2;399,2;3;,4;
2020-01-04;1300;4;669;2,6;,5;
2020-01-04;1400;3,2;793,7;2,6;,9;
2020-01-04;1500;,4;1026,7;2,1;,9;
2020-01-04;1600;0;2634,2;2,7;,9;
2020-01-04;1700;5,8;642;3,8;,8;
2020-01-04;1800;9,2;637,4;2,3;,6;
