Nome: ARARANGUA
Codigo Estacao: A867
Latitude: -28.931353
Longitude: -49.49792
Altitude: 2
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2026-01-01
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);RADIACAO GLOBAL(Kj/m²);VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2020-01-01;0000;,2;-2,5;4,9;3,4;
2020-01-01;0100;0;-,7;7,6;,9;
2020-01-01;0200;0;-2,6;3,9;2,2;
2020-01-01;0300;0;-,8;5,3;2,7;
2020-01-01;0400;0;-1,9;4,5;,8;
2020-01-01;0500;0;-3,4;2,1;1,6;
2020-01-01;0600;0;-3,4;2,1;,4;
2020-01-01;0700;0;-3,4;1,2;,4;
2020-01-01;0800;0;-2,8;1,6;,6;
2020-01-01;0900;0;80,9;1,6;,5;
2020-01-01;1000;0;255,9;1,6;,4;
2020-01-01;1100;0;766,7;2,6;1,8;
2020-01-01;1200;0;1434,4;2,6;1,5;
2020-01-01;1300;0;2350,8;2,4;1,1;
2020-01-01;1400;0;3052,6;3,2;1;
2020-01-01;1500;0;3477;5,1;2,6;
2020-01-01;1600;0;2712;8;4;
2020-01-01;1700;0;2902,2;6,5;3,5;
2020-01-01;1800;0;2855,7;5,8;3,1;
2020-01-01;1900;,6;363,6;5,7;1,2;
2020-01-01;2000;1,8;188,3;5,5;2,3;
2020-01-01;2100;0;101,2;4,2;2;
2020-01-01;2200;0;37;5,1;2;
2020-01-01;2300;0;,2;3;1,3;
2020-01-02;0000;1,8;-2,1;3;2;
2020-01-02;0100;15,4;-1,8;3,6;1,6;
2020-01-02;0200;,4;1,4;7,3;3;
2020-01-02;0300;0;3,4;4,6;1,7;
2020-01-02;0400;1;1,7;10;3,9;
2020-01-02;0500;0;-,2;8,9;3,9;
2020-01-02;0600;0;,5;9;3,3;
2020-01-02;0700;,2;-1,5;8,9;2,9;
2020-01-02;0800;0;,4;7,8;2,8;
2020-01-02;0900;,6;81,7;6,4;2,7;
2020-01-02;1000;1,2;353,7;7,8;4;
2020-01-02;1100;0;917,1;8,8;3,7;
2020-01-02;1200;,8;820,6;9,2;4,7;
2020-01-02;1300;0;2139,4;10,2;5,4;
2020-01-02;1400;0;2193;10,4;5,4;
2020-01-02;1500;0;2561,5;11,5;5,6;
2020-01-02;1600;0;2728;10,5;5,5;
2020-01-02;1700;0;2625,4;10,4;7;
2020-01-02;1800;,2;2104,8;13,5;6,9;
2020-01-02;1900;0;1996,9;13,5;6,5;
2020-01-02;2000;0;1158,9;11,9;6,3;
2020-01-02;2100;0;460;10,4;5,3;
2020-01-02;2200;0;169,7;9,5;4,2;
2020-01-02;2300;0;,4;7,8;3,9;
2020-01-03;0000;0;-3,1;9,7;3,3;
2020-01-03;0100;0;-3,3;5,6;2,5;
2020-01-03;0200;0;-3,3;7,9;1,9;
2020-01-03;0300;0;-3,5;5,1;2,2;
2020-01-03;0400;0;-3,5;7,7;3,7;
2020-01-03;0500;0;-3,5;7,7;2,7;
2020-01-03;0600;,2;-3,2;7,9;2,2;
2020-01-03;0700;0;-2,9;6,4;3,5;
2020-01-03;0800;,4;-3,4;6,4;3,3;
2020-01-03;0900;,2;82,5;7;1,6;
2020-01-03;1000;0;413,4;5,6;3,1;
2020-01-03;1100;0;1019,3;6;3,5;
2020-01-03;1200;0;1881,5;10,4;5;
2020-01-03;1300;,2;2784,4;10,4;5,9;
2020-01-03;1400;0;2764,2;11,8;6,6;
