Periodo,Problema,Título,Data,Link
28/12/2020,produto,Startup usa rede de vizinhos para vender produtos de supermercado,28/02/2021 09:24,https://g1.globo.com/economia/pme/pequenas-empresas-grandes-negocios/noticia/2021/02/28/startup-usa-rede-de-vizinhos-para-vender-produtos-de-supermercado.ghtml
28/12/2020,interditado,Supermercado de Mogi das Cruzes é interditado por causa de incêndio,22/03/2021 09:36,https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2021/03/21/supermercado-de-mogi-das-cruzes-e-interditado-por-causa-de-incendio.ghtml
28/12/2020,produto,Procon apreende quase duas toneladas de produtos vencidos em supermercado de Alexânia,11/02/2021 18:31,https://g1.globo.com/go/goias/noticia/2021/02/11/procon-apreende-quase-duas-toneladas-de-produtos-vencidos-em-supermercado-de-alexania.ghtml
28/12/2020,prateleira,"Prateleiras amorteceram queda de telhado de supermercado em Guaíra, SP, diz bombeiro",06/01/2021 20:09,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2021/01/06/prateleiras-amorteceram-queda-de-telhado-de-supermercado-em-guaira-sp-diz-bombeiro.ghtml
28/12/2020,alimento,Mais de 25 Kg de alimentos são apreendidos em supermercado em Manaus,24/02/2021 09:36,https://g1.globo.com/am/amazonas/noticia/2021/02/24/mais-de-25-kg-de-alimentos-sao-apreendidos-em-supermercado-em-manaus.ghtml
28/12/2020,fila,Candidatos formam fila gigante após supermercado anunciar contratação de 250 funcionários em Fernandópolis,01/03/2021 13:39,https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/2021/03/01/candidatos-formam-fila-gigante-apos-supermercado-anunciar-contratacao-de-250-funcionarios-em-fernandopolis.ghtml
28/12/2020,produto,Procon apreende 20kg de alimentos e produtos de limpeza em supermercado de Manaus,11/03/2021 13:31,https://g1.globo.com/am/amazonas/noticia/2021/03/11/procon-apreende-20kg-de-alimentos-e-produtos-de-limpeza-em-supermercado-de-manaus.ghtml
28/12/2020,termina,Juíza determina reconstituição do assassinato de João Alberto em supermercado de Porto Alegre,22/02/2021 19:46,https://g1.globo.com/rs/rio-grande-do-sul/noticia/2021/02/22/juiza-determina-reconstituicao-do-assassinato-de-joao-alberto-em-supermercado-de-porto-alegre.ghtml
28/12/2020,aglomeração,Prefeito de Teresina vai a inauguração de supermercado com aglomeração de pessoas; vídeo,05/02/2021 08:48,https://g1.globo.com/pi/piaui/noticia/2021/02/04/prefeito-de-teresina-vai-a-inauguracao-de-supermercado-com-aglomeracao-de-pessoas-video.ghtml
28/12/2020,fila,"Centenas de pessoas formam fila para tentar vagas em rede de supermercado, em Rolândia",26/01/2021 17:33,https://g1.globo.com/pr/norte-noroeste/noticia/2021/01/26/centenas-de-pessoas-formam-fila-para-tentar-vagas-em-rede-de-supermercado-em-rolandia.ghtml
28/12/2020,interditado,Supermercado de Rio Preto é interditado por descumprir normas de prevenção contra a Covid-19,15/01/2021 15:04,https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/2021/01/15/supermercado-de-rio-preto-e-interditado-por-descumprir-normas-de-prevencao-contra-a-covid-19.ghtml
28/12/2020,compra,Viatura da PM é usada para transportar compras em supermercado de Belém; Veja o vídeo,04/02/2021 09:53,https://g1.globo.com/pa/para/noticia/2021/02/04/viatura-da-pm-e-usada-para-transportar-compras-em-supermercado-de-belem-veja-o-video.ghtml
28/12/2020,compra,"Morre idosa que levou facada enquanto fazia compras em supermercado de Valparaíso de Goiás, diz delegado",04/02/2021 21:18,https://g1.globo.com/go/goias/noticia/2021/02/04/idosa-esfaqueada-dentro-de-supermercado-atacadista-de-valparaiso-de-goias-morre-em-hospital-diz-delegado.ghtml
28/12/2020,alimento,Alimentos armazenados de forma incorreta e com validade vencida são encontrados em supermercado de Patos de Minas,19/01/2021 12:38,https://g1.globo.com/mg/triangulo-mineiro/noticia/2021/01/19/alimentos-armazenados-de-forma-incorreta-e-com-validade-vencida-sao-encontrados-em-supermercado-de-patos-de-minas.ghtml
28/12/2020,correria,Tentativa de assalto gera correria dentro de supermercado e suspeito é preso com arma falsa em Natal,06/02/2021 12:39,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2021/02/06/tentativa-de-assalto-gera-correria-dentro-de-supermercado-e-suspeito-e-preso-com-arma-falsa-em-natal.ghtml
28/12/2020,busca,"Centenas de candidatos formam fila em busca de vagas de emprego em novo supermercado, em Ponta Grossa",27/01/2021 15:02,https://g1.globo.com/pr/campos-gerais-sul/noticia/2021/01/27/centenas-de-candidatos-formam-fila-em-busca-de-vagas-de-emprego-em-novo-supermercado-em-ponta-grossa.ghtml
28/12/2020,acaba,Homem quebra cautelar da justiça e acaba detido pela PM quando fazia compras em supermercado em Santarém,22/01/2021 18:54,https://g1.globo.com/pa/santarem-regiao/noticia/2021/01/22/homem-quebra-cautelar-da-justica-e-acaba-detido-pela-pm-quando-fazia-compras-em-supermercado-em-santarem.ghtml
28/12/2020,comida,Três mulheres são presas após assaltar supermercado no PA e polícia apreende comida e itens de cozinha,20/01/2021 23:29,https://g1.globo.com/pa/para/noticia/2021/01/20/tres-mulheres-sao-presas-apos-assaltar-supermercado-no-pa-e-policia-apreende-comida-e-itens-de-cozinha.ghtml
28/12/2020,interditado,Supermercado de Pirassununga é interditado e autuado em mais de R$ 5 mil por descumprir decreto na pandemia,07/03/2021 17:27,https://g1.globo.com/sp/sao-carlos-regiao/noticia/2021/03/07/supermercado-de-pirassununga-e-interditado-e-autuado-em-mais-de-r-5-mil-por-descumprir-decreto-na-pandemia.ghtml
28/12/2020,covid-19,Funcionária de supermercado vai trabalhar com Covid-19 a pedido do chefe é denunciada por fiscal em MT,18/03/2021 12:11,https://g1.globo.com/mt/mato-grosso/noticia/2021/03/18/funcionaria-de-supermercado-vai-trabalhar-com-covid-19-a-pedido-do-chefe-e-denunciada-por-fiscal-em-mt.ghtml
28/12/2020,produto,Grupo é preso por furtar quase 90 produtos de supermercados em Leopoldina,25/03/2021 10:50,https://g1.globo.com/mg/zona-da-mata/noticia/2021/03/25/grupo-e-preso-por-furtar-quase-90-produtos-de-supermercados-em-leopoldina.ghtml
28/12/2020,aglomerações,Sedepp solicita medidas de controle de aglomerações em supermercados de Presidente Prudente,20/02/2021 11:59,https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2021/02/20/sedepp-solicita-medidas-de-controle-de-aglomeracoes-em-supermercados-de-presidente-prudente.ghtml
28/12/2020,coronavírus,Coronavírus: Pato Branco decreta horários de funcionamento para comércio e supermercados,23/02/2021 14:07,https://g1.globo.com/pr/oeste-sudoeste/noticia/2021/02/23/coronavirus-pato-branco-decreta-horarios-de-funcionamento-para-comercio-e-supermercados.ghtml
28/12/2020,demanda,"Fechados no confinamento, supermercados de Araraquara tem alta demanda de delivery",23/02/2021 16:25,https://g1.globo.com/sp/sao-carlos-regiao/noticia/2021/02/23/fechados-no-confinamento-supermercados-de-araraquara-tem-alta-demanda-de-delivery.ghtml
28/12/2020,produto,Mais de 70 quilos de produtos são apreendidos pelo Procon em supermercados de Manaus,25/02/2021 10:00,https://g1.globo.com/am/amazonas/noticia/2021/02/25/mais-de-70-quilos-de-alimentos-sao-apreendidos-pelo-procon-em-supermercados-de-manaus.ghtml
28/12/2020,distribuição,Projeto de lei quer tornar gratuita distribuição de sacolas em supermercados no Pará,19/02/2021 19:40,https://g1.globo.com/pa/para/noticia/2021/02/19/projeto-de-lei-quer-tornar-gratuita-distribuicao-de-sacolas-biodegradaveis-no-para.ghtml
28/12/2020,covid-19,Covid-19: Uberlândia altera funcionamento de supermercados aos domingos e atendimento por delivery,19/03/2021 20:05,https://g1.globo.com/mg/triangulo-mineiro/noticia/2021/03/19/covid-19-uberlandia-altera-funcionamento-de-supermercados-aos-domingos-e-atendimento-por-delivery.ghtml
28/12/2020,termina,Governo determina fechamento de mercados e supermercados às 20h no Estado do Piauí,17/03/2021 09:17,https://g1.globo.com/pi/piaui/noticia/2021/03/17/governo-determina-fechamento-de-mercados-e-supermercados-as-20h-no-estado-do-piaui.ghtml
28/12/2020,preço,Preço do arroz sobe e pode chegar a R$ 41 nos supermercados de Palmas,14/01/2021 11:21,https://g1.globo.com/to/tocantins/noticia/2021/01/11/preco-do-arroz-sobe-e-pode-chegar-a-r-41-nos-supermercados-de-palmas.ghtml
28/12/2020,falta,Associação de supermercados diz que não faltarão alimentos na quarentena mais rígida no ES,26/03/2021 13:43,https://g1.globo.com/es/espirito-santo/noticia/2021/03/26/associacao-de-supermercados-diz-que-nao-faltarao-alimentos-na-quarentena-mais-rigida-no-es.ghtml
28/12/2020,preço,Preços do tomate e da cebola estão 30% mais caros em supermercados de Presidente Prudente,12/01/2021 09:19,https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2021/01/12/precos-do-tomate-e-da-cebola-estao-30percent-mais-caros-em-supermercados-de-presidente-prudente.ghtml
28/12/2020,lotam,Supermercados lotam após áudio falso em redes sociais sobre fechamento total no Amazonas,23/01/2021 18:08,https://g1.globo.com/am/amazonas/noticia/2021/01/23/supermercados-lotam-apos-audio-falso-em-redes-sociais-sobre-fechamento-total-no-amazonas.ghtml
28/12/2020,fila,"Filas em supermercados após anúncio de restrições eram previstas, diz prefeito de Ribeirão Preto",16/03/2021 20:33,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2021/03/16/filas-em-supermercados-apos-anuncio-de-restricoes-eram-previstas-diz-prefeito-de-ribeirao-preto.ghtml
28/12/2020,produto,Mais de 30 quilos de alimentos e produtos de limpeza são apreendidos em supermercados de Manaus,19/02/2021 09:33,https://g1.globo.com/am/amazonas/noticia/2021/02/19/mais-de-30-quilos-de-alimentos-e-produtos-de-limpeza-sao-apreendidos-em-supermercados-de-manaus.ghtml
28/12/2020,fila,Supermercados e postos de Araraquara têm filas após decreto anunciar fechamento por 60 horas,20/02/2021 16:50,https://g1.globo.com/sp/sao-carlos-regiao/noticia/2021/02/20/supermercados-e-postos-de-combustiveis-de-araraquara-tem-filas-apos-decreto-de-fechamento-por-60-horas.ghtml
28/12/2020,covid-19,Covid-19: Prefeitura de Uberaba impõe medidas mais rígidas e fecha supermercados aos domingos,25/02/2021 16:01,https://g1.globo.com/mg/triangulo-mineiro/noticia/2021/02/25/covid-19-prefeitura-de-uberaba-impoe-medidas-mais-rigidas-e-fecha-supermercados-aos-domingos.ghtml
