Periodo,Problema,Título,Data,Link
25/03/2024,fila,Homem é golpeado com canivete durante discussão em fila de supermercado,19/04/2024 16:01,https://g1.globo.com/sp/santos-regiao/noticia/2024/04/19/homem-e-golpeado-com-canivete-durante-discussao-em-fila-de-supermercado.ghtml
25/03/2024,isolado,"Após incêndio, supermercado em Salinas, é isolado pelo Corpo de Bombeiros",14/04/2024 14:50,https://g1.globo.com/mg/grande-minas/noticia/2024/04/14/apos-incendio-supermercado-em-salinas-e-isolado-pelo-corpo-de-bombeiros.ghtml
25/03/2024,preço,Preço nas alturas: Azeite ganha lacre antifurto em supermercado de Vitória,17/04/2024 16:37,https://g1.globo.com/es/espirito-santo/noticia/2024/04/17/preco-nas-alturas-azeite-ganha-lacre-antifurto-em-supermercado-de-vitoria.ghtml
25/03/2024,abastecimento,Medo do desabastecimento faz supermercado de Caruaru limitar venda de arroz,16/05/2024 12:25,https://g1.globo.com/pe/caruaru-regiao/noticia/2024/05/16/medo-do-desabastecimento-faz-supermercado-de-caruaru-limitar-venda-de-arroz.ghtml
25/03/2024,acaba,"Adolescentes matam aula, furtam whisky em supermercado e acabam apreendidos em MG",16/04/2024 09:56,https://g1.globo.com/mg/triangulo-mineiro/noticia/2024/04/16/adolescentes-matam-aula-furtam-whisky-em-supermercado-e-acabam-apreendidos-em-mg.ghtml
25/03/2024,alimento,Procon apreende 70 quilos de alimentos vencidos em supermercado na Grande Natal,12/06/2024 07:54,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2024/06/12/procon-apreende-70-quilos-de-alimentos-vencidos-em-supermercado-na-grande-natal.ghtml
25/03/2024,fila,"VÍDEO: Polícia Civil apura suspeita de importunação sexual contra mulher em fila de supermercado, em MG",23/04/2024 13:26,https://g1.globo.com/mg/sul-de-minas/noticia/2024/04/23/video-policia-civil-apura-suspeita-de-importunacao-sexual-contra-mulher-em-fila-de-supermercado-em-mg.ghtml
25/03/2024,interditado,VÍDEO: cliente flagra rato em meio a frigorífico de supermercado no MA; estabelecimento é parcialmente interditado,29/04/2024 17:43,https://g1.globo.com/ma/maranhao/noticia/2024/04/29/video-cliente-flagra-rato-em-meio-a-frigorifico-de-supermercado-no-ma-estabelecimento-e-parcialmente-interditado.ghtml
25/03/2024,fila,Polícia confirma que homem investigado por importunação sexual se masturbou em fila de supermercado em MG,25/04/2024 14:55,https://g1.globo.com/mg/sul-de-minas/noticia/2024/04/25/policia-confirma-que-homem-investigado-por-importunacao-sexual-se-masturbou-em-fila-de-supermercado-em-mg.ghtml
25/03/2024,termina,"Operação contra suspeitos de atacar segurança em supermercado termina em 4 mortos em Balsas, no MA",05/04/2024 09:45,https://g1.globo.com/ma/maranhao/noticia/2024/04/05/operacao-contra-suspeitos-de-atacar-seguranca-em-supermercado-termina-em-4-mortos-em-balsas-no-maranhao.ghtml
25/03/2024,preço,"Preço da cesta básica em Piracicaba varia até 52,6% conforme o supermercado ou atacarejo, diz Esalq",30/03/2024 21:12,https://g1.globo.com/sp/piracicaba-regiao/noticia/2024/03/30/preco-da-cesta-basica-em-piracicaba-varia-ate-526percent-conforme-o-supermercado-ou-atacarejo-diz-esalq.ghtml
25/03/2024,fila,"Polícia Civil prende homem investigado por importunação sexual contra mulher em fila de supermercado, em MG",24/04/2024 19:31,https://g1.globo.com/mg/sul-de-minas/noticia/2024/04/24/policia-civil-prende-homem-investigado-por-importunacao-sexual-contra-mulher-em-fila-de-supermercado-em-mg.ghtml
25/03/2024,acaba,Homem de 20 anos com 81 anotações criminais é preso por furto a supermercado em Copacabana,03/04/2024 12:42,https://g1.globo.com/rj/rio-de-janeiro/noticia/2024/04/03/homem-e-preso-por-furto-a-supermercado-em-copacabana.ghtml
25/03/2024,corrida,Aplicativo de corrida mostra 'boca de fumo' em terreno baldio e 'nascimento de tartaruga' em supermercado no ES,07/05/2024 18:43,https://g1.globo.com/es/espirito-santo/noticia/2024/05/07/aplicativo-de-corrida-mostra-boca-de-fumo-em-terreno-baldio-e-nascimento-de-tartaruga-em-supermercado-no-es.ghtml
25/03/2024,termina,Justiça determina pagamento de R$ 20 mil de indenização para jovem agredida por suspeita de furto em supermercado de MG,24/05/2024 19:57,https://g1.globo.com/mg/sul-de-minas/noticia/2024/05/24/justica-determina-pagamento-de-r-20-mil-de-indenizacao-para-jovem-agredida-por-suspeita-de-furto-em-supermercado-de-mg.ghtml
25/03/2024,produto,"Carne, cachaça e cerveja: homem é preso por furtar mais de R$ 1 mil em produtos de supermercado em MG",31/05/2024 20:19,https://g1.globo.com/mg/triangulo-mineiro/noticia/2024/05/31/carne-cachaca-e-cerveja-homem-e-preso-por-furtar-mais-de-r-1-mil-em-produtos-de-supermercado-em-mg.ghtml
