Problema,Título,Data,Link
desabastecimento,Coronavírus: supermercado desmente mensagem de desabastecimento em BH,19/03/2020 12:19,https://g1.globo.com/mg/minas-gerais/noticia/2020/03/19/coronavirus-supermercado-desmente-mensagem-de-desabastecimento-em-bh.ghtml
aumento,"Preço do feijão tem aumento de quase 100% em supermercado depois da pandemia do coronavírus em Goiás, diz polícia",25/03/2020 17:53,https://g1.globo.com/go/goias/noticia/2020/03/25/policia-e-fiscais-flagram-produtos-com-sobrepreco-em-supermercados-depois-da-pandemia-do-coronavirus-em-goias.ghtml
falta,"Não há risco de falta de produtos nos supermercados, diz Abras",16/03/2020 20:28,https://g1.globo.com/economia/noticia/2020/03/16/nao-ha-risco-de-falta-de-produtos-nos-supermercados-diz-abras.ghtml
desabastecimento,"Supermercados do ES não têm risco de desabastecimento, afirma associação",20/03/2020 11:44,https://g1.globo.com/es/espirito-santo/noticia/2020/03/20/supermercados-do-es-nao-tem-risco-de-desabastecimento-afirma-associacao.ghtml
desabastecimento,Associação de Supermercados garante que não há risco de desabastecimento no Pará,17/03/2020 11:59,https://g1.globo.com/pa/para/noticia/2020/03/17/associacao-de-supermercados-garante-que-nao-risco-de-desabastecimento-no-para.ghtml
desabastecimento,Coronavírus: governo de Pernambuco afirma que não há risco de desabastecimento em supermercados,19/03/2020 06:24,https://g1.globo.com/pe/pernambuco/noticia/2020/03/18/coronavirus-governo-de-pernambuco-afirma-que-nao-ha-risco-de-desabastecimento-em-supermercados.ghtml
desabastecimento,"Supermercados do Ceará não correm risco de desabastecimento nos próximos dias, diz associação",16/03/2020 20:58,https://g1.globo.com/ce/ceara/noticia/2020/03/16/supermercados-do-ceara-nao-correm-risco-de-desabastecimento-nos-proximos-dias-diz-associacao.ghtml
desabastecimento,Associação de supermercados diz que não há risco de desabastecimento no RJ,17/03/2020 13:40,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/03/17/associacao-de-supermercados-diz-que-nao-ha-risco-de-desabastecimento-no-rj.ghtml
desabastecimento,Supermercados de Piracicaba têm alta em movimento; sindicato não acredita em desabastecimento,18/03/2020 08:53,https://g1.globo.com/sp/piracicaba-regiao/noticia/2020/03/18/supermercados-de-piracicaba-tem-alta-em-movimento-sindicato-nao-acredita-em-desabastecimento.ghtml
desabastecimento,"Não há risco de desabastecimento por conta do coronavírus, diz Associação Mineira de Supermercados",18/03/2020 13:01,https://g1.globo.com/mg/minas-gerais/noticia/2020/03/18/nao-ha-risco-de-desabastecimento-por-conta-do-coronavirus-diz-associacao-mineira-de-supermercados.ghtml
limitam,Supermercados no Ceará limitam número de clientes no interior do estabelecimento,22/03/2020 11:47,https://g1.globo.com/ce/ceara/noticia/2020/03/22/supermercados-no-ceara-limitam-numero-de-clientes-no-interior-do-estabelecimento.ghtml
desabastecimento,"Supermercados não correm o risco de desabastecimento no Paraná, diz presidente da Apras",18/03/2020 11:52,https://g1.globo.com/pr/parana/noticia/2020/03/18/presidente-da-associacao-dos-supermercados-diz-que-lojas-nao-correm-o-risco-de-desabastecimento-no-parana.ghtml
limite,Coronavírus: Procon e supermercados de Valinhos determinam limite de compra de produtos essenciais,24/03/2020 13:48,https://g1.globo.com/sp/campinas-regiao/noticia/2020/03/24/coronavirus-procon-e-supermercados-de-valinhos-determinam-limite-de-compra-de-produtos-essenciais.ghtml
falta,Farmácias e supermercados de Manaus têm falta de álcool em gel após aumento de buscas,18/03/2020 13:02,https://g1.globo.com/am/amazonas/noticia/2020/03/18/farmacias-e-supermercados-de-manaus-tem-falta-de-alcool-em-gel-apos-aumento-de-buscas.ghtml
limitam,Supermercados em Feira de Santana limitam nº de pessoas nos estabelecimentos para evitar aglomerações,25/03/2020 08:03,https://g1.globo.com/ba/bahia/noticia/2020/03/25/supermercados-em-feira-de-santana-limitam-no-de-pessoas-nos-estabelecimentos-para-evitar-aglomeracoes.ghtml
falta,Associação de Supermercados do RN diz que não faltará produto: 'Façam as compras normalmente',17/03/2020 20:03,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2020/03/17/associacao-de-supermercados-do-rn-diz-que-nao-faltara-produtos-facam-as-compras-normalmente.ghtml
vazia,Brasileiro mostra prateleiras de supermercados vazias nos Estados Unidos e faz alerta: 'Preparem-se',18/03/2020 07:04,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2020/03/18/brasileiro-mostra-prateleiras-de-supermercados-vazias-nos-estados-unidos-e-faz-alerta-preparem-se.ghtml
vazia,"Após casos de coronavírus, clientes lotam supermercados em Cuiabá e prateleiras com álcool são esvaziadas",18/03/2020 12:43,https://g1.globo.com/mt/mato-grosso/noticia/2020/03/18/apos-casos-de-coronavirus-clientes-lotam-supermercados-em-cuiaba-e-prateleiras-com-alcool-sao-esvaziadas.ghtml
aumento,Ceasa registra aumento nos preços; associação de supermercados diz que alta não chegou a consumidores,27/03/2020 15:46,https://g1.globo.com/ce/ceara/noticia/2020/03/27/ceasa-registra-aumento-nos-precos-associacao-de-supermercados-diz-que-alta-nao-chegou-a-consumidores.ghtml
aumento,"Após aumento no movimento em supermercados de SP, associação pede que consumidores não estoquem produtos",17/03/2020 12:58,https://g1.globo.com/sp/sao-paulo/noticia/2020/03/17/apos-aumento-no-movimento-em-supermercados-de-sp-associacao-pede-que-consumidores-nao-estoquem-produtos.ghtml
aumento,"Aumento no movimento em supermercados de SP chega a 18% nesta segunda, diz associação",17/03/2020 21:42,https://g1.globo.com/sp/sao-paulo/noticia/2020/03/17/aumento-no-movimento-em-supermercados-de-sp-chega-a-18percent-nesta-segunda-diz-associacao.ghtml
vazia,"Coronavírus: 'Parece cena de filme', diz potiguar que mora na Espanha sobre supermercados com prateleiras vazias",12/03/2020 17:35,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2020/03/12/coronavirus-parece-cena-de-filme-diz-potiguar-que-mora-na-espanha-sobre-supermercados-com-prateleiras-vazias.ghtml
falta,Falta de álcool em gel em comércios faz associação de supermercados limitar venda de produto no ES,17/03/2020 12:51,https://g1.globo.com/es/espirito-santo/noticia/2020/03/17/falta-de-alcool-em-gel-em-comercios-faz-associacao-de-supermercados-limitar-venda-de-produto-no-es.ghtml
vazia,Mogiano que foi embora para a Espanha em 2001 está assustado com o coronavírus: 'prateleiras dos supermercados estão vazias',13/03/2020 19:25,https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2020/03/13/mogiano-que-foi-embora-para-a-espanha-em-2001-esta-assustado-com-o-coronavirus-prateleiras-dos-supermercados-estao-vazias.ghtml
aumento,"Cesta básica tem aumento de 4,75% e passa a custar R$ 640,27 em Presidente Prudente",09/03/2020 21:13,https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2020/03/09/cesta-basica-tem-aumento-de-475percent-e-passa-a-custar-r-64027-em-presidente-prudente.ghtml
aumento,Prefeito de Ipatinga decide fechar o comércio com o aumento do número de casos suspeitos de coronavírus,19/03/2020 18:59,https://g1.globo.com/mg/vales-mg/noticia/2020/03/19/prefeito-de-ipatinga-decide-fechar-o-comercio-com-o-aumento-do-numero-de-casos-suspeitos.ghtml
limitam,"Coronavírus: Após aumento de movimento, mercados criam horário para idosos e limitam compras em SP",18/03/2020 21:12,https://g1.globo.com/sp/sao-paulo/noticia/2020/03/18/coronavirus-apos-aumento-de-movimento-mercados-criam-horario-para-idosos-e-limitam-compras-em-sp.ghtml
corrida,Corrida por álcool em gel faz com que produto se esgote em comércio de Palmas,20/03/2020 12:03,https://g1.globo.com/to/tocantins/noticia/2020/03/20/corrida-por-alcool-em-gel-faz-com-que-produto-se-esgote-em-comercio-de-palmas.ghtml
desabastecimento,Coronavírus e desabastecimento: veja perguntas e respostas sobre a questão dos alimentos no Brasil,23/03/2020 11:12,https://g1.globo.com/economia/noticia/2020/03/20/coronavirus-e-desabastecimento-veja-perguntas-e-respostas-sobre-a-questao-dos-alimentos-no-brasil.ghtml
