Periodo,Problema,Título,Data,Link
01/01/2018,produto,Adolescente é flagrada furtando produtos em supermercado de Mogi,27/03/2018 13:43,https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/adolescente-e-flagrada-furtando-produtos-em-supermercado-de-mogi.ghtml
01/01/2018,chuva,Chuva e vento derrubam estrutura de outdoor em supermercado de Assis,16/02/2018 19:17,https://g1.globo.com/sp/bauru-marilia/noticia/temporal-relampago-derruba-estrutura-de-outdoor-em-supermercado-de-assis.ghtml
01/01/2018,acaba,"Homem furta produtos de supermercado em Boa Vista, é flagrado e acaba detido",04/03/2018 13:04,https://g1.globo.com/rr/roraima/noticia/homem-furta-produtos-de-supermercado-em-boa-vista-e-flagrado-e-acaba-detido.ghtml
01/01/2018,termina,Briga entre cliente e segurança de supermercado termina na delegacia em Campo Grande,31/03/2018 18:47,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/briga-entre-cliente-e-seguranca-de-supermercado-termina-na-delegacia-em-campo-grande.ghtml
01/01/2018,produto,Mulher é presa por furtar produtos de supermercado no Centro de João Pessoa,01/03/2018 18:11,https://g1.globo.com/pb/paraiba/noticia/mulher-e-presa-por-furtar-produtos-de-supermercado-no-centro-de-joao-pessoa.ghtml
02/04/2018,abastecimento,Supermercado em Manaus restringe compra de produtos para prevenir desabastecimento,25/05/2018 17:40,https://g1.globo.com/am/amazonas/noticia/supermercado-em-manaus-restringe-compra-de-produto-para-prevenir-desabastecimento.ghtml
02/04/2018,paralisação,Supermercado online dobra lucro com paralisação de caminhões em João Pessoa,28/05/2018 15:25,https://g1.globo.com/pb/paraiba/noticia/supermercado-online-dobra-lucro-com-paralisacao-de-caminhoes-em-joao-pessoa.ghtml
02/04/2018,limite,Supermercado impõe limite de produto após corrida por estoque de comida,24/05/2018 11:27,https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/supermercado-impoe-limite-de-produto-por-cliente-apos-corrida-por-estoque-de-comida.ghtml
02/04/2018,alimento,Vigilância sanitária apreende 175 kg de alimentos impróprios em supermercado de Manaus,23/04/2018 21:24,https://g1.globo.com/am/amazonas/noticia/vigilancia-sanitaria-apreende-175-kg-de-alimentos-improprios-em-supermercado-de-manaus.ghtml
02/04/2018,fila,Vagas em supermercado atraem centenas e fila dobra quarteirão em São Carlos,16/05/2018 20:01,https://g1.globo.com/sp/sao-carlos-regiao/noticia/vagas-em-supermercado-atraem-centenas-e-fila-dobra-quarteirao-em-sao-carlos.ghtml
02/04/2018,termina,Justiça determina que supermercado em Uberlândia indenize cliente por furto de moto em estacionamento,14/05/2018 20:11,https://g1.globo.com/mg/triangulo-mineiro/noticia/justica-determina-que-supermercado-em-uberlandia-indenize-cliente-por-furto-de-moto-em-estacionamento.ghtml
02/04/2018,produto,Gerente de supermercado em MS é presa por adulterar data de validade de produtos,22/05/2018 09:36,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/gerente-de-supermercado-em-ms-e-presa-por-adulterar-data-de-validade-de-produtos.ghtml
02/04/2018,produto,Fiscalização apreende mais de 80 produtos vencidos em supermercado na Zona Centro-Oeste de Manaus,19/06/2018 16:58,https://g1.globo.com/am/amazonas/noticia/fiscalizacao-apreende-mais-de-80-produtos-vencidos-em-supermercado-na-zona-centro-oeste-de-manaus.ghtml
02/04/2018,falta,Com falta de combustível em Porto Velho morador abastece moto com álcool comprado em supermercado,26/05/2018 14:49,https://g1.globo.com/ro/rondonia/noticia/com-falta-de-combustivel-em-porto-velho-morador-abastece-moto-com-alcool-comprado-em-supermercado.ghtml
02/04/2018,produto,Dono de supermercado mostra produto erótico para cliente e caso vai parar na polícia em Uberaba,10/04/2018 11:40,https://g1.globo.com/mg/triangulo-mineiro/noticia/dono-de-supermercado-mostra-produto-erotico-para-cliente-e-caso-vai-parar-na-policia-em-uberaba.ghtml
02/04/2018,alimento,"Duas pessoas são presas e mais de 10 toneladas de alimentos, apreendidas em supermercado de Guaíba",10/04/2018 23:15,https://g1.globo.com/rs/rio-grande-do-sul/noticia/duas-pessoas-sao-presas-e-mais-de-10-toneladas-de-alimentos-apreendidas-em-supermercado-de-guaiba.ghtml
02/04/2018,acaba,Venezuelano é flagrado furtando biscoito e doces de supermercado em RR e acaba preso; ‘estava com fome’,28/04/2018 16:56,https://g1.globo.com/rr/roraima/noticia/venezuelano-e-flagrado-furtando-biscoito-e-doces-de-supermercado-em-rr-e-acaba-preso-estava-com-fome.ghtml
02/04/2018,produto,Denúncias de clientes levaram  polícia a supermercado com produtos vencidos; dona é multada em R$ 15 mil,22/05/2018 15:39,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/denuncias-de-clientes-levaram-policia-a-supermercado-com-produtos-vencidos-dona-e-multada-em-r-15-mil.ghtml
02/07/2018,produto,Assaltantes estouram parede e furtam produtos e dinheiro de supermercado,14/07/2018 15:41,https://g1.globo.com/sp/sao-carlos-regiao/noticia/assaltantes-estouram-parede-e-furtam-produtos-e-dinheiro-de-supermercado.ghtml
02/07/2018,interditada,"Casas próximas a supermercado destruído em incêndio seguem interditadas, em Manaus",17/09/2018 18:50,https://g1.globo.com/am/amazonas/noticia/2018/09/17/casas-proximas-a-supermercado-destruido-em-incendio-seguem-interditadas-em-manaus.ghtml
02/07/2018,busca,Capivara ferida busca refúgio em estacionamento de supermercado de Campo Grande,26/09/2018 12:39,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2018/09/26/capivara-ferida-busca-refugiu-em-estacionamento-de-supermercado-de-campo-grande.ghtml
02/07/2018,fila,Esperança de emprego em supermercado leva 3 mil pessoas a megafila Bauru,23/07/2018 20:56,https://g1.globo.com/sp/bauru-marilia/noticia/2018/07/23/esperanca-de-emprego-em-supermercado-leva-3-mil-pessoas-a-megafila-bauru.ghtml
